benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,m,ell,epsilon,coverage,coverage_empirical,coverage_n_test,confidence,cex_x,cex_y,error,timestamp
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,71.3,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:18:15.169376+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,77.5,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:19:37.644301+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,92.2,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:21:14.767298+00:00
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,77.6,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:22:37.388225+00:00
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,74.2,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:23:56.541269+00:00
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,78.2,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:25:19.739887+00:00
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,73.5,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:26:38.232012+00:00
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,78.8,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:28:01.857916+00:00
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,77.9,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:29:24.687623+00:00
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,90.6,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:31:00.331201+00:00
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,77.6,116,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T02:32:22.804669+00:00
