benchmark,onnx_file,vnnlib_file,verdict,wall_s,train_s,verify_s,vnncomp_timeout_s,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,38.5,26.5,11.5,116,0.9995,5.4577,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-01T23:54:00.743852+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,37.7,25.9,11.3,116,0.9985,14.0186,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-01T23:54:47.211269+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,37.3,25.6,11.3,116,1.0000,7.2105,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-01T23:55:32.917672+00:00
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,37.9,26.3,11.1,116,1.0000,8.9962,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-01T23:56:19.668708+00:00
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.8,33.9,11.3,116,0.9995,8.4537,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-01T23:57:13.994982+00:00
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.0,33.4,11.2,116,1.0000,7.9110,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-01T23:58:07.497033+00:00
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,43.3,31.6,11.2,116,1.0000,4.6281,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-01T23:58:59.355035+00:00
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.2,29.5,15.2,116,1.0000,5.2806,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-01T23:59:52.896881+00:00
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.8,33.7,11.5,116,1.0000,7.1864,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:00:47.267543+00:00
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,37.9,26.2,11.2,116,0.9995,5.9004,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:01:33.777738+00:00
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.7,34.0,11.2,116,0.9995,8.6997,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:02:28.308013+00:00
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,38.8,26.7,11.5,116,1.0000,8.1387,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:03:15.546242+00:00
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.7,33.9,11.3,116,1.0000,6.9290,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:04:09.844686+00:00
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,43.1,31.5,11.2,116,0.9995,11.1201,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:05:01.748501+00:00
acasxu_2023,ACASXU_run2a_2_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,43.8,32.2,11.1,116,0.9985,5.2440,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:05:54.107886+00:00
acasxu_2023,ACASXU_run2a_2_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,37.2,25.3,11.5,116,0.9990,29.0009,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:06:40.215562+00:00
acasxu_2023,ACASXU_run2a_2_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,36.5,24.8,11.2,116,1.0000,48.4936,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:07:25.337790+00:00
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,37.0,25.4,11.3,116,1.0000,5.7266,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:08:10.972309+00:00
acasxu_2023,ACASXU_run2a_3_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.1,33.4,11.2,116,1.0000,7.2076,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:09:04.766978+00:00
acasxu_2023,ACASXU_run2a_3_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,36.9,25.3,11.2,116,1.0000,10.6618,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:09:50.273546+00:00
acasxu_2023,ACASXU_run2a_3_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.4,33.6,11.3,116,1.0000,10.3249,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:10:44.688512+00:00
acasxu_2023,ACASXU_run2a_3_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,41.6,29.6,11.6,116,1.0000,9.1313,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:11:34.951015+00:00
acasxu_2023,ACASXU_run2a_3_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,40.4,28.8,11.0,116,1.0000,11.2574,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:12:24.173527+00:00
acasxu_2023,ACASXU_run2a_3_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,41.2,29.3,11.4,116,1.0000,11.6763,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:13:13.877780+00:00
acasxu_2023,ACASXU_run2a_3_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.9,34.1,11.4,116,1.0000,15.6895,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:14:08.515080+00:00
acasxu_2023,ACASXU_run2a_3_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,36.5,24.5,11.5,116,1.0000,6.7355,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:14:53.621826+00:00
acasxu_2023,ACASXU_run2a_3_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,36.0,24.4,11.2,116,1.0000,15.1697,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:15:38.294090+00:00
acasxu_2023,ACASXU_run2a_4_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,36.9,25.2,11.3,116,1.0000,332.9619,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:16:24.016999+00:00
