depth,width,n_params,instance_idx,method,verdict,wall_s,train_s,verify_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
2,512,3585,0,ours,UNSAT,61.4,49.6,11.8,300,15859557,0.1000,0.312342,-0.004720,unsat,0.9995,3.3503,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:23:15.669071+00:00
2,512,3585,1,ours,UNSAT,61.4,49.6,11.8,300,1333207912,0.1000,0.319916,0.004402,unsat,1.0000,3.0049,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:24:25.715057+00:00
2,512,3585,2,ours,UNSAT,61.3,49.5,11.8,300,1942830158,0.1000,0.312262,-0.004062,unsat,1.0000,3.9446,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:25:35.726204+00:00
2,512,3585,3,ours,UNSAT,61.4,49.5,11.9,300,828675423,0.1000,0.300151,-0.016783,unsat,1.0000,4.7783,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:26:45.804412+00:00
2,512,3585,4,ours,UNSAT,67.9,56.1,11.8,300,881180685,0.1000,0.291473,-0.025728,unsat,1.0000,3.6522,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:28:02.229353+00:00
2,512,3585,5,ours,UNSAT,65.4,53.4,12.1,300,900982671,0.1000,0.326080,0.006974,unsat,1.0000,3.6114,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:29:16.320753+00:00
2,512,3585,6,ours,UNSAT,68.8,57.0,11.8,300,1942595559,0.1000,0.311494,-0.005547,unsat,1.0000,4.7757,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:30:33.669785+00:00
2,512,3585,7,ours,UNSAT,68.9,57.0,11.9,300,1036081765,0.1000,0.291727,-0.026064,unsat,1.0000,4.2562,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:31:51.161476+00:00
2,512,3585,8,ours,UNSAT,61.3,49.5,11.8,300,2143606874,0.1000,0.327747,0.014492,unsat,0.9995,3.0281,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:33:01.148084+00:00
2,512,3585,9,ours,UNSAT,63.7,51.9,11.8,300,2103714509,0.1000,0.330038,0.009518,unsat,1.0000,3.0921,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:34:13.373263+00:00
