instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_2_5_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,11.120444,0.9995,1.0000e-03,,29.7,11.2,40.9,,2026-05-06T19:01:15.301816+00:00
1,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_2.vnnlib,unsat,amls,UNSAT,5.280363,1.0000,1.0000e-03,,26.1,10.9,37.0,,2026-05-06T19:02:03.568645+00:00
2,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,22.346094,1.0000,1.0000e-03,,25.8,10.9,36.8,,2026-05-06T19:02:51.461817+00:00
3,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,8.088700,1.0000,1.0000e-03,,26.0,10.9,36.9,,2026-05-06T19:03:39.541954+00:00
4,0,ACASXU_run2a_2_1_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,5.900676,0.9995,1.0000e-03,,26.2,0.0,26.2,,2026-05-06T19:04:16.895117+00:00
5,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,8.686570,1.0000,1.0000e-03,,25.7,10.9,36.6,,2026-05-06T19:04:53.756411+00:00
6,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,4.669365,0.9995,1.0000e-03,,25.9,10.9,36.8,,2026-05-06T19:05:41.826811+00:00
7,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,16.941336,0.9990,1.0000e-03,,26.1,10.9,37.0,,2026-05-06T19:06:29.990280+00:00
8,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,4.135486,0.9995,1.0000e-03,,26.1,11.5,37.5,,2026-05-06T19:07:18.904425+00:00
9,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.215891,1.0000,1.0000e-03,,28.5,10.9,39.5,,2026-05-06T19:08:13.907583+00:00
10,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,5.533996,1.0000,1.0000e-03,,28.5,15.1,43.6,,2026-05-06T19:09:08.914850+00:00
11,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.291052,0.9990,1.0000e-03,,29.3,13.6,42.9,,2026-05-06T19:10:07.408457+00:00
12,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,16.933874,1.0000,1.0000e-03,,29.7,0.1,29.8,,2026-05-06T19:10:52.564035+00:00
13,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,7.207497,1.0000,1.0000e-03,,29.4,15.0,44.4,,2026-05-06T19:11:37.298593+00:00
14,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.545469,1.0000,1.0000e-03,,30.0,14.0,44.0,,2026-05-06T19:12:36.881070+00:00
15,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.268801,0.9995,1.0000e-03,,27.9,11.2,39.0,,2026-05-06T19:13:31.564633+00:00
16,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,12.087645,1.0000,1.0000e-03,,27.6,0.0,27.7,,2026-05-06T19:14:10.748862+00:00
17,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,7.207497,1.0000,1.0000e-03,,25.8,0.0,25.8,,2026-05-06T19:14:36.826413+00:00
18,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,10.324744,1.0000,1.0000e-03,,26.1,10.9,37.0,,2026-05-06T19:15:14.071456+00:00
19,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,9.383724,1.0000,1.0000e-03,,27.6,15.0,42.5,,2026-05-06T19:16:07.783661+00:00
20,0,ACASXU_run2a_1_2_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,3.711339,1.0000,1.0000e-03,,29.3,11.3,40.6,,2026-05-06T19:17:03.953157+00:00
21,0,ACASXU_run2a_3_8_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.989151,1.0000,1.0000e-03,,29.5,14.3,43.9,,2026-05-06T19:17:59.502648+00:00
22,0,ACASXU_run2a_2_4_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,6.929574,1.0000,1.0000e-03,,30.2,0.1,30.3,,2026-05-06T19:18:45.216876+00:00
23,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,3.871942,0.9985,1.0000e-03,,29.8,15.1,44.9,,2026-05-06T19:19:30.659597+00:00
24,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.262940,1.0000,1.0000e-03,,27.8,15.0,42.9,,2026-05-06T19:20:29.063359+00:00
25,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_2.vnnlib,unsat,amls,UNSAT,7.186540,1.0000,1.0000e-03,,29.8,11.4,41.3,,2026-05-06T19:21:25.781464+00:00
26,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,9.251959,1.0000,1.0000e-03,,30.1,0.0,30.1,,2026-05-06T19:22:11.283472+00:00
27,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,16.933874,1.0000,1.0000e-03,,29.1,15.1,44.2,,2026-05-06T19:22:55.760341+00:00
28,0,ACASXU_run2a_4_1_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,5.698996,1.0000,1.0000e-03,,28.9,13.9,42.9,,2026-05-06T19:23:54.168965+00:00
29,0,ACASXU_run2a_1_3_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,3.759120,0.9985,1.0000e-03,,30.5,15.0,45.5,,2026-05-06T19:24:55.227207+00:00
30,0,ACASXU_run2a_4_6_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,20.269079,1.0000,1.0000e-03,,30.7,15.1,45.8,,2026-05-06T19:25:56.602821+00:00
31,0,ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,8.996649,1.0000,1.0000e-03,,29.5,15.0,44.5,,2026-05-06T19:26:56.478048+00:00
32,0,ACASXU_run2a_2_7_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,28.999592,0.9990,1.0000e-03,,29.7,11.3,41.0,,2026-05-06T19:27:52.799308+00:00
33,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_2.vnnlib,unsat,amls,UNSAT,4.628134,1.0000,1.0000e-03,,29.5,11.3,40.8,,2026-05-06T19:28:45.266961+00:00
34,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_3.vnnlib,sat,amls,UNKNOWN,4.532929,0.9995,1.0000e-03,,25.8,0.0,25.9,,2026-05-06T19:29:22.699024+00:00
35,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,4.441386,0.9995,1.0000e-03,,28.4,11.3,39.7,,2026-05-06T19:30:02.800544+00:00
36,0,ACASXU_run2a_1_6_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,3.512717,0.9990,1.0000e-03,,29.9,11.3,41.1,,2026-05-06T19:30:55.631432+00:00
37,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,8.452727,0.9995,1.0000e-03,,29.7,4.9,34.6,,2026-05-06T19:31:41.922677+00:00
38,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,unsat,amls,UNSAT,124.523956,1.0000,1.0000e-03,,29.2,45.2,74.4,,2026-05-06T19:33:02.744865+00:00
38,1,ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,unsat,amls,UNSAT,20.750517,1.0000,1.0000e-03,,28.9,45.1,74.0,,2026-05-06T19:35:03.413621+00:00
39,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,5.243239,0.9985,1.0000e-03,,28.4,0.0,28.5,,2026-05-06T19:36:17.561906+00:00
40,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,3.893145,1.0000,1.0000e-03,,28.4,11.2,39.6,,2026-05-06T19:36:57.667855+00:00
41,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,6.039131,0.9995,1.0000e-03,,29.1,11.2,40.3,,2026-05-06T19:37:49.474662+00:00
42,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,12.087645,1.0000,1.0000e-03,,28.9,10.9,39.8,,2026-05-06T19:38:40.815131+00:00
43,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,8.088700,1.0000,1.0000e-03,,29.9,0.0,30.0,,2026-05-06T19:39:22.862859+00:00
44,0,ACASXU_run2a_5_9_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,5.446670,0.9995,1.0000e-03,,26.1,13.3,39.4,,2026-05-06T19:40:02.743706+00:00
45,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.391994,1.0000,1.0000e-03,,28.9,10.9,39.9,,2026-05-06T19:40:58.221880+00:00
46,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,22.346094,1.0000,1.0000e-03,,28.7,0.0,28.7,,2026-05-06T19:41:39.276774+00:00
47,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_8.vnnlib,sat,amls,UNKNOWN,6.859711,0.9990,1.0000e-03,,28.7,21.8,50.6,,2026-05-06T19:42:30.438734+00:00
48,0,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNSAT,7.212758,1.0000,1.0000e-03,,29.6,14.5,44.2,,2026-05-06T19:43:45.265000+00:00
49,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,8.141217,1.0000,1.0000e-03,,29.4,11.0,40.4,,2026-05-06T19:44:41.076448+00:00
50,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,3.833439,0.9995,1.0000e-03,,30.0,15.1,45.1,,2026-05-06T19:45:39.108928+00:00
51,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,6.039131,0.9995,1.0000e-03,,29.7,0.0,29.8,,2026-05-06T19:46:22.751122+00:00
