instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_2_5_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,11.120444,0.9995,1.0000e-03,3.1125e-30,29.7,10.8,40.6,,2026-05-06T19:01:26.147520+00:00
1,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_2.vnnlib,unsat,amls_bounded,UNSAT,5.280363,1.0000,1.0000e-03,3.1125e-30,26.1,10.9,37.0,,2026-05-06T19:02:14.439728+00:00
2,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,22.346094,1.0000,1.0000e-03,3.1125e-30,25.8,10.9,36.7,,2026-05-06T19:03:02.375985+00:00
3,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,8.088700,1.0000,1.0000e-03,3.1125e-30,26.0,10.9,36.9,,2026-05-06T19:03:50.438855+00:00
4,0,ACASXU_run2a_2_1_batch_2000.onnx,prop_2.vnnlib,sat,amls_bounded,UNKNOWN,5.900676,0.9995,4.9946e-02,4.8995e-02,26.2,0.0,26.2,,2026-05-06T19:04:16.933773+00:00
5,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,8.686570,1.0000,1.0000e-03,3.1125e-30,25.7,10.9,36.6,,2026-05-06T19:05:04.647018+00:00
6,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_4.vnnlib,unsat,amls_bounded,UNSAT,4.669365,0.9995,1.0000e-03,3.1125e-30,25.9,10.9,36.8,,2026-05-06T19:05:52.707042+00:00
7,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,16.941336,0.9990,1.0000e-03,3.1125e-30,26.1,10.9,37.1,,2026-05-06T19:06:40.923959+00:00
8,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_4.vnnlib,unsat,amls_bounded,UNSAT,4.135486,0.9995,1.0000e-03,3.1125e-30,26.1,15.1,41.2,,2026-05-06T19:07:33.979553+00:00
9,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,4.215891,1.0000,1.0000e-03,3.1125e-30,28.5,10.9,39.5,,2026-05-06T19:08:24.852083+00:00
10,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,5.533996,1.0000,1.0000e-03,3.1125e-30,28.5,15.1,43.6,,2026-05-06T19:09:24.032168+00:00
11,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,4.291052,0.9990,1.0000e-03,3.1125e-30,29.3,15.1,44.3,,2026-05-06T19:10:22.480170+00:00
12,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_2.vnnlib,sat,amls_bounded,UNKNOWN,16.933874,1.0000,9.9676e-02,9.8774e-02,29.7,0.1,29.8,,2026-05-06T19:10:52.616651+00:00
13,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,7.207497,1.0000,1.0000e-03,3.1125e-30,29.4,15.1,44.5,,2026-05-06T19:11:52.408805+00:00
14,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,4.545469,1.0000,1.0000e-03,3.1125e-30,30.0,15.2,45.2,,2026-05-06T19:12:52.039127+00:00
15,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,4.268801,0.9995,1.0000e-03,3.1125e-30,27.9,11.3,39.1,,2026-05-06T19:13:42.816273+00:00
16,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_2.vnnlib,sat,amls_bounded,UNKNOWN,12.087645,1.0000,2.1235e-02,2.0255e-02,27.6,0.0,27.7,,2026-05-06T19:14:10.787838+00:00
17,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_2.vnnlib,sat,amls_bounded,UNKNOWN,7.207497,1.0000,2.3831e-02,2.2854e-02,25.8,0.0,25.8,,2026-05-06T19:14:36.865275+00:00
18,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,10.324744,1.0000,1.0000e-03,3.1125e-30,26.1,10.9,37.0,,2026-05-06T19:15:24.994178+00:00
19,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,9.383724,1.0000,1.0000e-03,3.1125e-30,27.6,15.1,42.7,,2026-05-06T19:16:22.884106+00:00
20,0,ACASXU_run2a_1_2_batch_2000.onnx,prop_4.vnnlib,unsat,amls_bounded,UNSAT,3.711339,1.0000,1.0000e-03,3.1125e-30,29.3,11.3,40.6,,2026-05-06T19:17:15.246088+00:00
21,0,ACASXU_run2a_3_8_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,4.989151,1.0000,1.0000e-03,3.1125e-30,29.5,15.1,44.6,,2026-05-06T19:18:14.612045+00:00
22,0,ACASXU_run2a_2_4_batch_2000.onnx,prop_2.vnnlib,sat,amls_bounded,UNKNOWN,6.929574,1.0000,4.4059e-02,4.3102e-02,30.2,0.1,30.3,,2026-05-06T19:18:45.269763+00:00
23,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_4.vnnlib,unsat,amls_bounded,UNSAT,3.871942,0.9985,1.0000e-03,3.1125e-30,29.8,15.1,44.9,,2026-05-06T19:19:45.748956+00:00
