instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_2_5_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,11.120444,0.9995,1.0000e-03,,29.7,0.1,29.8,,2026-05-06T19:01:26.260223+00:00
1,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_2.vnnlib,unsat,is_tilted,UNSAT,5.280363,1.0000,1.0000e-03,,26.1,0.1,26.2,,2026-05-06T19:02:14.545780+00:00
2,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,22.346094,1.0000,1.0000e-03,,25.8,0.1,25.9,,2026-05-06T19:03:02.482913+00:00
3,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,8.088700,1.0000,1.0000e-03,,26.0,0.1,26.1,,2026-05-06T19:03:50.540977+00:00
4,0,ACASXU_run2a_2_1_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,5.900676,0.9995,1.0000e-03,,26.2,0.1,26.3,,2026-05-06T19:04:17.035815+00:00
5,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,8.686570,1.0000,1.0000e-03,,25.7,0.1,25.8,,2026-05-06T19:05:04.754833+00:00
6,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.669365,0.9995,1.0000e-03,,25.9,0.1,26.0,,2026-05-06T19:05:52.811519+00:00
7,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,16.941336,0.9990,1.0000e-03,,26.1,0.1,26.2,,2026-05-06T19:06:41.028574+00:00
8,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.135486,0.9995,1.0000e-03,,26.1,0.1,26.2,,2026-05-06T19:07:34.097163+00:00
9,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.215891,1.0000,1.0000e-03,,28.5,0.1,28.6,,2026-05-06T19:08:24.959072+00:00
10,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,5.533996,1.0000,1.0000e-03,,28.5,0.1,28.6,,2026-05-06T19:09:24.146990+00:00
11,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.291052,0.9990,1.0000e-03,,29.3,0.1,29.4,,2026-05-06T19:10:22.602514+00:00
12,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,16.933874,1.0000,1.0000e-03,,29.7,0.1,29.9,,2026-05-06T19:10:52.723777+00:00
13,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,7.207497,1.0000,1.0000e-03,,29.4,0.1,29.5,,2026-05-06T19:11:52.517606+00:00
14,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.545469,1.0000,1.0000e-03,,30.0,0.1,30.2,,2026-05-06T19:12:52.167032+00:00
15,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.268801,0.9995,1.0000e-03,,27.9,0.1,28.0,,2026-05-06T19:13:42.918558+00:00
16,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,12.087645,1.0000,1.0000e-03,,27.6,0.1,27.7,,2026-05-06T19:14:10.887549+00:00
17,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,7.207497,1.0000,1.0000e-03,,25.8,0.1,25.9,,2026-05-06T19:14:36.961707+00:00
18,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,10.324744,1.0000,1.0000e-03,,26.1,0.1,26.2,,2026-05-06T19:15:25.095607+00:00
19,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,9.383724,1.0000,1.0000e-03,,27.6,0.1,27.7,,2026-05-06T19:16:22.995368+00:00
20,0,ACASXU_run2a_1_2_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.711339,1.0000,1.0000e-03,,29.3,0.1,29.4,,2026-05-06T19:17:15.347311+00:00
