instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_2_5_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,11.120444,0.9995,4.4445e-03,,29.7,0.0,29.8,,2026-05-06T19:01:26.308415+00:00
1,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_2.vnnlib,unsat,raw_mc_uniform,UNKNOWN,5.280363,1.0000,4.4445e-03,,26.1,0.0,26.1,,2026-05-06T19:02:14.584253+00:00
2,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,22.346094,1.0000,4.4445e-03,,25.8,0.0,25.9,,2026-05-06T19:03:02.521335+00:00
3,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,8.088700,1.0000,4.4445e-03,,26.0,0.0,26.1,,2026-05-06T19:03:50.579525+00:00
4,0,ACASXU_run2a_2_1_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,5.900676,0.9995,4.9946e-02,,26.2,0.0,26.2,,2026-05-06T19:04:17.074330+00:00
5,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,8.686570,1.0000,4.4445e-03,,25.7,0.0,25.7,,2026-05-06T19:05:04.793408+00:00
6,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.669365,0.9995,4.4445e-03,,25.9,0.0,25.9,,2026-05-06T19:05:52.850187+00:00
7,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,16.941336,0.9990,4.4445e-03,,26.1,0.0,26.2,,2026-05-06T19:06:41.067440+00:00
8,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.135486,0.9995,4.4445e-03,,26.1,0.1,26.1,,2026-05-06T19:07:34.149950+00:00
9,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.215891,1.0000,4.4445e-03,,28.5,0.0,28.6,,2026-05-06T19:08:24.997602+00:00
10,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,5.533996,1.0000,4.4445e-03,,28.5,0.1,28.6,,2026-05-06T19:09:24.199710+00:00
11,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.291052,0.9990,4.4445e-03,,29.3,0.1,29.3,,2026-05-06T19:10:22.655744+00:00
12,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,16.933874,1.0000,9.9676e-02,,29.7,0.1,29.8,,2026-05-06T19:10:52.775917+00:00
13,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,7.207497,1.0000,4.4445e-03,,29.4,0.1,29.4,,2026-05-06T19:11:52.570121+00:00
14,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.545469,1.0000,4.4445e-03,,30.0,0.1,30.1,,2026-05-06T19:12:52.220397+00:00
15,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.268801,0.9995,4.4445e-03,,27.9,0.0,27.9,,2026-05-06T19:13:42.958126+00:00
16,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,12.087645,1.0000,2.1235e-02,,27.6,0.0,27.7,,2026-05-06T19:14:10.926230+00:00
17,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,7.207497,1.0000,2.3831e-02,,25.8,0.0,25.8,,2026-05-06T19:14:37.000205+00:00
18,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,10.324744,1.0000,4.4445e-03,,26.1,0.0,26.1,,2026-05-06T19:15:25.134729+00:00
19,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,9.383724,1.0000,4.4445e-03,,27.6,0.1,27.6,,2026-05-06T19:16:23.047989+00:00
20,0,ACASXU_run2a_1_2_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.711339,1.0000,4.4445e-03,,29.3,0.0,29.4,,2026-05-06T19:17:15.387306+00:00
21,0,ACASXU_run2a_3_8_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.989151,1.0000,4.4445e-03,,29.5,0.1,29.6,,2026-05-06T19:18:14.802034+00:00
22,0,ACASXU_run2a_2_4_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,6.929574,1.0000,4.4059e-02,,30.2,0.1,30.3,,2026-05-06T19:18:45.456541+00:00
23,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.871942,0.9985,4.4445e-03,,29.8,0.1,29.9,,2026-05-06T19:19:45.917173+00:00
24,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.262940,1.0000,4.4445e-03,,27.8,0.1,27.9,,2026-05-06T19:20:44.271024+00:00
25,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_2.vnnlib,unsat,raw_mc_uniform,UNKNOWN,7.186540,1.0000,4.4445e-03,,29.8,0.1,29.9,,2026-05-06T19:21:41.074974+00:00
26,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,9.251959,1.0000,4.0486e-02,,30.1,0.0,30.1,,2026-05-06T19:22:11.468217+00:00
27,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,16.933874,1.0000,4.4445e-03,,29.1,0.1,29.2,,2026-05-06T19:23:11.034941+00:00
28,0,ACASXU_run2a_4_1_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,5.698996,1.0000,4.4445e-03,,28.9,0.1,29.0,,2026-05-06T19:24:09.411717+00:00
29,0,ACASXU_run2a_1_3_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.759120,0.9985,4.4445e-03,,30.5,0.1,30.5,,2026-05-06T19:25:10.502435+00:00
30,0,ACASXU_run2a_4_6_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,20.269079,1.0000,4.4445e-03,,30.7,0.1,30.8,,2026-05-06T19:26:11.814112+00:00
31,0,ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,8.996649,1.0000,4.4445e-03,,29.5,0.1,29.6,,2026-05-06T19:27:11.686106+00:00
32,0,ACASXU_run2a_2_7_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,28.999592,0.9990,4.4445e-03,,29.7,0.0,29.8,,2026-05-06T19:28:04.225578+00:00
33,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_2.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.628134,1.0000,4.4445e-03,,29.5,0.0,29.5,,2026-05-06T19:28:56.706803+00:00
34,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_3.vnnlib,sat,raw_mc_uniform,UNKNOWN,4.532929,0.9995,1.0000e+00,,25.8,0.0,25.9,,2026-05-06T19:29:22.876833+00:00
35,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.441386,0.9995,4.4445e-03,,28.4,0.0,28.4,,2026-05-06T19:30:14.224803+00:00
36,0,ACASXU_run2a_1_6_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.512717,0.9990,4.4445e-03,,29.9,0.0,29.9,,2026-05-06T19:31:07.052711+00:00
37,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,8.452727,0.9995,4.4445e-03,,29.7,0.0,29.7,,2026-05-06T19:31:47.344788+00:00
38,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,unsat,raw_mc_uniform,UNKNOWN,124.523956,1.0000,4.4445e-03,,29.2,0.0,29.3,,2026-05-06T19:33:48.348274+00:00
38,1,ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,unsat,raw_mc_uniform,UNKNOWN,20.750517,1.0000,4.4445e-03,,28.9,0.0,29.0,,2026-05-06T19:35:48.988581+00:00
39,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,5.243239,0.9985,4.1681e-02,,28.4,0.0,28.5,,2026-05-06T19:36:17.736917+00:00
40,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.893145,1.0000,4.4445e-03,,28.4,0.0,28.5,,2026-05-06T19:37:09.029155+00:00
41,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,6.039131,0.9995,4.4445e-03,,29.1,0.0,29.2,,2026-05-06T19:38:00.862727+00:00
42,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,12.087645,1.0000,4.4445e-03,,28.9,0.1,29.0,,2026-05-06T19:38:52.799455+00:00
