instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_2_5_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,11.120444,0.9995,4.4504e-03,,29.7,0.1,29.8,,2026-05-06T19:01:04.145027+00:00
1,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_2.vnnlib,unsat,scenario,UNSAT,5.280363,1.0000,1.3450e-03,,26.1,0.3,26.4,,2026-05-06T19:01:52.690705+00:00
2,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,22.346094,1.0000,4.4504e-03,,25.8,0.1,25.9,,2026-05-06T19:02:40.525840+00:00
3,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,8.088700,1.0000,4.4504e-03,,26.0,0.1,26.1,,2026-05-06T19:03:28.659061+00:00
4,0,ACASXU_run2a_2_1_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,5.900676,0.9995,4.4504e-03,,26.2,0.1,26.3,,2026-05-06T19:04:16.856769+00:00
5,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,8.686570,1.0000,4.4504e-03,,25.7,0.1,25.8,,2026-05-06T19:04:42.873815+00:00
6,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.669365,0.9995,1.3450e-03,,25.9,0.3,26.1,,2026-05-06T19:05:30.946185+00:00
7,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,16.941336,0.9990,4.4504e-03,,26.1,0.1,26.2,,2026-05-06T19:06:19.101489+00:00
8,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.135486,0.9995,1.3450e-03,,26.1,0.3,26.4,,2026-05-06T19:07:07.453807+00:00
9,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.215891,1.0000,1.3450e-03,,28.5,0.3,28.8,,2026-05-06T19:08:02.970426+00:00
10,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,5.533996,1.0000,1.3450e-03,,28.5,0.3,28.8,,2026-05-06T19:08:53.818018+00:00
11,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.291052,0.9990,1.3450e-03,,29.3,0.3,29.6,,2026-05-06T19:09:53.782202+00:00
12,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,16.933874,1.0000,4.4504e-03,,29.7,0.1,29.8,,2026-05-06T19:10:52.511709+00:00
13,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,7.207497,1.0000,4.4504e-03,,29.4,0.1,29.5,,2026-05-06T19:11:22.279040+00:00
14,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.545469,1.0000,1.3450e-03,,30.0,0.3,30.3,,2026-05-06T19:12:22.875093+00:00
15,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.268801,0.9995,1.3450e-03,,27.9,0.3,28.1,,2026-05-06T19:13:20.374972+00:00
16,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,12.087645,1.0000,4.4504e-03,,27.6,0.1,27.7,,2026-05-06T19:14:10.709859+00:00
17,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,7.207497,1.0000,4.4504e-03,,25.8,0.1,25.9,,2026-05-06T19:14:36.788003+00:00
18,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,10.324744,1.0000,4.4504e-03,,26.1,0.1,26.2,,2026-05-06T19:15:03.207790+00:00
19,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,9.383724,1.0000,4.4504e-03,,27.6,0.1,27.7,,2026-05-06T19:15:52.793557+00:00
20,0,ACASXU_run2a_1_2_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.711339,1.0000,1.3450e-03,,29.3,0.3,29.6,,2026-05-06T19:16:52.662286+00:00
21,0,ACASXU_run2a_3_8_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.989151,1.0000,1.3450e-03,,29.5,0.3,29.8,,2026-05-06T19:17:45.187187+00:00
22,0,ACASXU_run2a_2_4_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,6.929574,1.0000,4.4504e-03,,30.2,0.1,30.4,,2026-05-06T19:18:45.163954+00:00
23,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.871942,0.9985,1.3450e-03,,29.8,0.3,30.1,,2026-05-06T19:19:15.595169+00:00
24,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.262940,1.0000,1.3450e-03,,27.8,0.3,28.1,,2026-05-06T19:20:14.030897+00:00
