instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,5.044272,1.0000,1.0000e-03,,29.2,11.3,40.5,,2026-05-06T15:58:06.028524+00:00
1,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,48.501675,1.0000,1.0000e-03,,27.1,11.0,38.2,,2026-05-06T15:59:16.699509+00:00
2,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.777421,1.0000,1.0000e-03,,26.4,11.0,37.4,,2026-05-06T16:00:27.412503+00:00
3,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_4.vnnlib,sat,amls,UNKNOWN,3.840337,0.9995,1.0000e-03,,25.3,0.0,25.4,,2026-05-06T16:01:24.638304+00:00
4,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,3.702073,0.9995,1.0000e-03,,25.2,11.0,36.2,,2026-05-06T16:02:11.760562+00:00
5,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,4.024890,0.9995,1.0000e-03,,27.8,11.1,38.9,,2026-05-06T16:03:28.711546+00:00
6,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,8.686570,1.0000,1.0000e-03,,25.8,0.0,25.8,,2026-05-06T16:04:26.626909+00:00
7,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_2.vnnlib,unsat,amls,UNKNOWN,10.324744,1.0000,1.0000e-03,,26.4,0.0,26.4,,2026-05-06T16:05:03.042417+00:00
8,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.285484,1.0000,1.0000e-03,,27.1,11.1,38.2,,2026-05-06T16:05:52.161835+00:00
9,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_3.vnnlib,sat,amls,UNKNOWN,4.384354,1.0000,1.0000e-03,,24.7,0.0,24.7,,2026-05-06T16:06:49.156103+00:00
10,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,10.990327,1.0000,1.0000e-03,,24.7,11.0,35.7,,2026-05-06T16:07:35.817632+00:00
11,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,4.004837,0.9990,1.0000e-03,,25.4,11.1,36.6,,2026-05-06T16:08:45.404936+00:00
12,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,8.699628,0.9995,1.0000e-03,,26.8,11.2,38.0,,2026-05-06T16:09:55.594766+00:00
13,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.591505,1.0000,1.0000e-03,,25.8,11.1,36.9,,2026-05-06T16:11:05.685792+00:00
14,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,4.544908,0.9995,1.0000e-03,,26.6,11.1,37.6,,2026-05-06T16:12:16.410391+00:00
15,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,4.628134,1.0000,1.0000e-03,,26.5,11.1,37.6,,2026-05-06T16:13:25.984236+00:00
16,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,15.169104,1.0000,1.0000e-03,,26.4,14.2,40.6,,2026-05-06T16:14:38.599180+00:00
17,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,5.455412,0.9995,1.0000e-03,,25.5,14.9,40.4,,2026-05-06T16:16:01.267115+00:00
18,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,11.257613,1.0000,1.0000e-03,,28.1,0.1,28.2,,2026-05-06T16:17:11.838512+00:00
19,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,3.984258,1.0000,1.0000e-03,,27.8,15.0,42.8,,2026-05-06T16:18:08.023825+00:00
