instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_3.vnnlib,unsat,derived,UNSAT,5.044272,1.0000,1.0000e-03,,29.2,9.5,38.7,,2026-05-06T15:58:15.686827+00:00
1,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_1.vnnlib,unsat,derived,UNSAT,48.501675,1.0000,1.0000e-03,,27.1,9.2,36.3,,2026-05-06T15:59:26.024446+00:00
2,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_3.vnnlib,unsat,derived,UNSAT,4.777421,1.0000,1.0000e-03,,26.4,9.0,35.3,,2026-05-06T16:00:36.515463+00:00
3,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_4.vnnlib,sat,derived,UNKNOWN,3.840337,0.9995,1.0000e-03,,25.3,9.0,34.3,,2026-05-06T16:01:33.715334+00:00
4,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_3.vnnlib,unsat,derived,UNSAT,3.702073,0.9995,1.0000e-03,,25.2,8.9,34.1,,2026-05-06T16:02:20.815007+00:00
5,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_4.vnnlib,unsat,derived,UNSAT,4.024890,0.9995,1.0000e-03,,27.8,9.0,36.8,,2026-05-06T16:03:37.799144+00:00
6,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_2.vnnlib,sat,derived,UNKNOWN,8.686570,1.0000,1.0000e-03,,25.8,9.1,34.9,,2026-05-06T16:04:35.853975+00:00
7,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_2.vnnlib,unsat,derived,UNKNOWN,10.324744,1.0000,1.0000e-03,,26.4,9.1,35.4,,2026-05-06T16:05:12.200500+00:00
8,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_3.vnnlib,unsat,derived,UNSAT,4.285484,1.0000,1.0000e-03,,27.1,9.1,36.1,,2026-05-06T16:06:01.352673+00:00
9,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_3.vnnlib,sat,derived,UNKNOWN,4.384354,1.0000,1.0000e-03,,24.7,9.1,33.8,,2026-05-06T16:06:58.318689+00:00
10,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_3.vnnlib,unsat,derived,UNSAT,10.990327,1.0000,1.0000e-03,,24.7,9.0,33.6,,2026-05-06T16:07:44.895480+00:00
11,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_4.vnnlib,unsat,derived,UNSAT,4.004837,0.9990,1.0000e-03,,25.4,9.0,34.5,,2026-05-06T16:08:54.560150+00:00
12,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,unsat,derived,UNSAT,8.699628,0.9995,1.0000e-03,,26.8,9.0,35.9,,2026-05-06T16:10:04.752860+00:00
13,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_3.vnnlib,unsat,derived,UNSAT,4.591505,1.0000,1.0000e-03,,25.8,9.0,34.8,,2026-05-06T16:11:14.807797+00:00
14,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_4.vnnlib,unsat,derived,UNSAT,4.544908,0.9995,1.0000e-03,,26.6,9.1,35.6,,2026-05-06T16:12:25.569096+00:00
15,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,unsat,derived,UNSAT,4.628134,1.0000,1.0000e-03,,26.5,9.0,35.6,,2026-05-06T16:13:35.127660+00:00
16,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_1.vnnlib,unsat,derived,UNSAT,15.169104,1.0000,1.0000e-03,,26.4,11.3,37.7,,2026-05-06T16:14:50.051101+00:00
17,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,unsat,derived,UNSAT,5.455412,0.9995,1.0000e-03,,25.5,11.6,37.1,,2026-05-06T16:16:12.999190+00:00
18,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_2.vnnlib,sat,derived,UNKNOWN,11.257613,1.0000,1.0000e-03,,28.1,11.3,39.4,,2026-05-06T16:17:23.261309+00:00
19,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_3.vnnlib,unsat,derived,UNSAT,3.984258,1.0000,1.0000e-03,,27.8,11.3,39.1,,2026-05-06T16:18:19.423874+00:00
