instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,5.044272,1.0000,4.4445e-03,,29.2,0.0,29.2,,2026-05-06T15:58:37.851192+00:00
1,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,48.501675,1.0000,4.4445e-03,,27.1,0.0,27.2,,2026-05-06T15:59:48.142726+00:00
2,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.777421,1.0000,4.4445e-03,,26.4,0.0,26.4,,2026-05-06T16:00:58.650496+00:00
3,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_4.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.840337,0.9995,1.0000e+00,,25.3,0.0,25.4,,2026-05-06T16:01:33.833780+00:00
4,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.702073,0.9995,4.4445e-03,,25.2,0.1,25.2,,2026-05-06T16:02:48.170586+00:00
5,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.024890,0.9995,4.4445e-03,,27.8,0.0,27.8,,2026-05-06T16:04:00.120361+00:00
6,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,8.686570,1.0000,1.2430e-01,,25.8,0.0,25.8,,2026-05-06T16:04:35.974080+00:00
7,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_2.vnnlib,unsat,raw_mc_uniform,UNKNOWN,10.324744,1.0000,1.4449e-02,,26.4,0.0,26.4,,2026-05-06T16:05:12.322111+00:00
8,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.285484,1.0000,4.4445e-03,,27.1,0.0,27.1,,2026-05-06T16:06:23.740294+00:00
9,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_3.vnnlib,sat,raw_mc_uniform,UNKNOWN,4.384354,1.0000,1.0000e+00,,24.7,0.0,24.7,,2026-05-06T16:06:58.438048+00:00
10,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,10.990327,1.0000,4.4445e-03,,24.7,0.0,24.7,,2026-05-06T16:08:07.100633+00:00
11,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.004837,0.9990,4.4445e-03,,25.4,0.0,25.5,,2026-05-06T16:09:16.947914+00:00
12,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,8.699628,0.9995,4.4445e-03,,26.8,0.0,26.9,,2026-05-06T16:10:27.134891+00:00
13,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.591505,1.0000,4.4445e-03,,25.8,0.0,25.8,,2026-05-06T16:11:37.158864+00:00
14,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.544908,0.9995,4.4445e-03,,26.6,0.0,26.6,,2026-05-06T16:12:47.745339+00:00
15,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.628134,1.0000,4.4445e-03,,26.5,0.0,26.6,,2026-05-06T16:13:57.359930+00:00
16,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,15.169104,1.0000,4.4445e-03,,26.4,0.1,26.4,,2026-05-06T16:15:20.193537+00:00
17,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,5.455412,0.9995,4.4445e-03,,25.5,0.1,25.5,,2026-05-06T16:16:42.971166+00:00
18,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,11.257613,1.0000,7.4033e-02,,28.1,0.1,28.2,,2026-05-06T16:17:23.419852+00:00
19,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.984258,1.0000,4.4445e-03,,27.8,0.1,27.9,,2026-05-06T16:18:49.455657+00:00
