instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,5.044272,1.0000,1.3450e-03,,29.2,0.3,29.5,,2026-05-06T15:57:53.289681+00:00
1,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,48.501675,1.0000,4.4504e-03,,27.1,0.1,27.2,,2026-05-06T15:59:05.101176+00:00
2,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.777421,1.0000,1.3450e-03,,26.4,0.3,26.7,,2026-05-06T16:00:14.809854+00:00
3,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_4.vnnlib,sat,scenario,UNKNOWN,3.840337,0.9995,4.4504e-03,,25.3,0.1,25.4,,2026-05-06T16:01:24.083779+00:00
4,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,3.702073,0.9995,1.3450e-03,,25.2,0.3,25.5,,2026-05-06T16:01:59.304037+00:00
5,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.024890,0.9995,1.3450e-03,,27.8,0.3,28.1,,2026-05-06T16:03:16.234553+00:00
6,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,8.686570,1.0000,4.4504e-03,,25.8,0.1,25.9,,2026-05-06T16:04:26.065197+00:00
7,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_2.vnnlib,unsat,scenario,UNKNOWN,10.324744,1.0000,4.4504e-03,,26.4,0.1,26.5,,2026-05-06T16:05:02.472745+00:00
8,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.285484,1.0000,1.3450e-03,,27.1,0.3,27.3,,2026-05-06T16:05:39.661574+00:00
9,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_3.vnnlib,sat,scenario,UNKNOWN,4.384354,1.0000,4.4504e-03,,24.7,0.1,24.8,,2026-05-06T16:06:48.557384+00:00
10,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,10.990327,1.0000,1.3450e-03,,24.7,0.3,24.9,,2026-05-06T16:07:23.389691+00:00
11,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.004837,0.9990,1.3450e-03,,25.4,0.3,25.7,,2026-05-06T16:08:32.818499+00:00
12,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,8.699628,0.9995,4.4504e-03,,26.8,0.1,26.9,,2026-05-06T16:09:43.884922+00:00
13,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.591505,1.0000,1.3450e-03,,25.8,0.3,26.0,,2026-05-06T16:10:53.174606+00:00
14,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.544908,0.9995,1.3450e-03,,26.6,0.3,26.8,,2026-05-06T16:12:03.999768+00:00
15,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,4.628134,1.0000,4.4504e-03,,26.5,0.1,26.6,,2026-05-06T16:13:14.395952+00:00
16,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,15.169104,1.0000,4.4504e-03,,26.4,0.1,26.5,,2026-05-06T16:14:23.821954+00:00
17,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,5.455412,0.9995,4.4504e-03,,25.5,0.1,25.6,,2026-05-06T16:15:45.767261+00:00
18,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,11.257613,1.0000,4.4504e-03,,28.1,0.1,28.2,,2026-05-06T16:17:11.208558+00:00
19,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,3.984258,1.0000,1.3450e-03,,27.8,0.3,28.1,,2026-05-06T16:17:51.559180+00:00
