instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_3.vnnlib,unsat,scenario_v2,UNSAT,5.044272,1.0000,2.7252e-03,,29.2,1.5,30.7,,2026-05-06T15:57:54.760801+00:00
1,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_1.vnnlib,unsat,scenario_v2,UNSAT,48.501675,1.0000,1.8252e-02,,27.1,0.6,27.7,,2026-05-06T15:59:05.662725+00:00
2,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_3.vnnlib,unsat,scenario_v2,UNSAT,4.777421,1.0000,2.7252e-03,,26.4,1.6,27.9,,2026-05-06T16:00:16.370539+00:00
3,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_4.vnnlib,sat,scenario_v2,UNKNOWN,3.840337,0.9995,1.8252e-02,,25.3,0.5,25.8,,2026-05-06T16:01:24.599772+00:00
4,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_3.vnnlib,unsat,scenario_v2,UNSAT,3.702073,0.9995,2.7252e-03,,25.2,1.4,26.6,,2026-05-06T16:02:00.712747+00:00
5,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_4.vnnlib,unsat,scenario_v2,UNSAT,4.024890,0.9995,2.7252e-03,,27.8,1.3,29.1,,2026-05-06T16:03:17.581348+00:00
6,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_2.vnnlib,sat,scenario_v2,UNKNOWN,8.686570,1.0000,1.8252e-02,,25.8,0.5,26.3,,2026-05-06T16:04:26.587577+00:00
7,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_2.vnnlib,unsat,scenario_v2,UNKNOWN,10.324744,1.0000,1.8252e-02,,26.4,0.5,26.9,,2026-05-06T16:05:03.003733+00:00
8,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_3.vnnlib,unsat,scenario_v2,UNSAT,4.285484,1.0000,2.7252e-03,,27.1,1.4,28.4,,2026-05-06T16:05:41.022599+00:00
9,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_3.vnnlib,sat,scenario_v2,UNKNOWN,4.384354,1.0000,1.8252e-02,,24.7,0.6,25.3,,2026-05-06T16:06:49.117286+00:00
10,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_3.vnnlib,unsat,scenario_v2,UNSAT,10.990327,1.0000,2.7252e-03,,24.7,1.4,26.1,,2026-05-06T16:07:24.771933+00:00
11,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_4.vnnlib,unsat,scenario_v2,UNSAT,4.004837,0.9990,2.7252e-03,,25.4,1.4,26.9,,2026-05-06T16:08:34.263822+00:00
12,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,unsat,scenario_v2,UNSAT,8.699628,0.9995,1.8252e-02,,26.8,0.5,27.4,,2026-05-06T16:09:44.419647+00:00
13,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_3.vnnlib,unsat,scenario_v2,UNSAT,4.591505,1.0000,2.7252e-03,,25.8,1.4,27.1,,2026-05-06T16:10:54.537354+00:00
14,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_4.vnnlib,unsat,scenario_v2,UNSAT,4.544908,0.9995,2.7252e-03,,26.6,1.3,27.9,,2026-05-06T16:12:05.341090+00:00
15,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,unsat,scenario_v2,UNSAT,4.628134,1.0000,1.8252e-02,,26.5,0.5,27.1,,2026-05-06T16:13:14.916754+00:00
16,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_1.vnnlib,unsat,scenario_v2,UNSAT,15.169104,1.0000,1.8252e-02,,26.4,0.5,26.9,,2026-05-06T16:14:24.354947+00:00
17,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,unsat,scenario_v2,UNSAT,5.455412,0.9995,1.8252e-02,,25.5,0.6,26.0,,2026-05-06T16:15:46.336141+00:00
18,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_2.vnnlib,sat,scenario_v2,UNKNOWN,11.257613,1.0000,1.8252e-02,,28.1,0.6,28.7,,2026-05-06T16:17:11.786838+00:00
19,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_3.vnnlib,unsat,scenario_v2,UNSAT,3.984258,1.0000,2.7252e-03,,27.8,1.5,29.3,,2026-05-06T16:17:53.055294+00:00
