onnx_file,vnnlib_file,verdict,q,worst_max_margin,amls_levels_used,wall_s,error
ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,UNSAT,6.869822,,,43.8,
ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,UNSAT,6.133806,,,39.9,
ACASXU_run2a_1_6_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,4.989225,,,40.8,
ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,UNSAT,16.089657,,,43.8,
ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,SAT,,,,8.1,
ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,SAT,,,,3.8,
ACASXU_run2a_3_2_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,7.486212,,,39.5,
ACASXU_run2a_5_3_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,10.292393,,,41.6,
ACASXU_run2a_2_9_batch_2000.onnx,prop_8.vnnlib,UNKNOWN,7.186867,,,42.5,
ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,5.146644,,,40.2,
