onnx_file,vnnlib_file,verdict,q,worst_max_margin,amls_levels_used,wall_s,error
ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,UNSAT,6.869822,0.000441,,42.6,
ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,UNSAT,6.133806,0.000199,,37.7,
ACASXU_run2a_1_6_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,4.989225,-0.000615,,42.8,
ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,UNSAT,16.089657,0.000386,,45.2,
ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,SAT,,,,10.2,
ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,SAT,,,,5.0,
ACASXU_run2a_3_2_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,7.486212,-0.004207,,43.3,
ACASXU_run2a_5_3_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,10.292393,-0.005289,,38.0,
ACASXU_run2a_2_9_batch_2000.onnx,prop_8.vnnlib,UNKNOWN,7.186867,-0.000430,,45.6,
ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,5.146644,4.009680,,40.4,
