benchmark,instance_idx,vnn_rel,verdict,call_idx,level,event,tau_k,phi_q_quantile,phi_min,phi_mean,phi_max,was_clamped,frac_in_U,mh_accept_rate
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,0,init,inf,2.328216075897217,1.6227447986602783,2.763904333114624,5.601310729980469,False,0.0,nan
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,1,level_complete,2.328216075897217,2.328216075897217,1.5710195302963257,2.1928234100341797,2.327892780303955,False,0.0,0.41325
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,2,level_complete,2.041008710861206,2.041008710861206,1.4652340412139893,1.9541131258010864,2.0409789085388184,False,0.0,0.3567
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,3,level_complete,1.8432585000991821,1.8432585000991821,1.3157775402069092,1.7768495082855225,1.8432468175888062,False,0.0,0.33675
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,4,level_complete,1.6960840225219727,1.6960840225219727,1.31405770778656,1.6400560140609741,1.6960315704345703,False,0.0,0.3204
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,5,level_complete,1.570493221282959,1.570493221282959,1.2570561170578003,1.5230120420455933,1.5704668760299683,False,0.0,0.29295
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,6,level_complete,1.463011622428894,1.463011622428894,1.1872243881225586,1.4229170083999634,1.4629766941070557,False,0.0,0.27385
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,7,level_complete,1.3700389862060547,1.3700389862060547,1.1499295234680176,1.3359731435775757,1.370034098625183,False,0.0,0.2457
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,8,level_complete,1.2921725511550903,1.2921725511550903,1.102237582206726,1.2625221014022827,1.2921631336212158,False,0.0,0.22095
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,9,level_complete,1.225286602973938,1.225286602973938,1.0840038061141968,1.2008702754974365,1.2252764701843262,False,0.0,0.1794
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,10,level_complete,1.1700974702835083,1.1700974702835083,1.049114465713501,1.1495999097824097,1.1700966358184814,False,0.0,0.15465
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,11,level_complete,1.1237071752548218,1.1237071752548218,1.0024741888046265,1.1057164669036865,1.1236889362335205,False,0.0,0.1268
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,12,level_complete,1.0842669010162354,1.0842669010162354,1.0052181482315063,1.0697078704833984,1.0842196941375732,False,0.0,0.1
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,13,level_complete,1.0510549545288086,1.0510549545288086,0.9793499708175659,1.0399155616760254,1.0510514974594116,False,0.0,0.06685
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,14,level_complete,1.0258281230926514,1.0258281230926514,0.9731624126434326,1.017162561416626,1.0258281230926514,False,0.0,0.04325
