benchmark,instance_idx,vnn_rel,m,ell,ell_frac,q,delta_2,verdict,eps_2_upper,detected_unsafe,levels_used,amls_wall_s,one_shot_train_wall_s
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,500,500,1.0,6.72847843170166,0.3936210551388153,UNSAT,3.1124924949170614e-30,False,30,11.114516496658325,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,500,500,0.999,6.72847843170166,0.3936210551388153,UNSAT,3.1124924949170614e-30,False,30,11.098260641098022,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,500,495,0.99,5.5048041343688965,1.3812474352614679e-05,UNSAT,3.1124924949170614e-30,False,30,11.093185424804688,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,500,475,0.95,5.002870559692383,0.0,UNSAT,3.1124924949170614e-30,False,30,11.100401163101196,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,1000,1000,1.0,11.54210376739502,0.6323045752290363,UNSAT,3.1124924949170614e-30,False,30,11.061657428741455,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,1000,999,0.999,6.839893817901611,0.2642410869698131,UNSAT,3.1124924949170614e-30,False,30,11.073164463043213,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,1000,990,0.99,5.5048041343688965,9.59995516414125e-09,UNSAT,3.1124924949170614e-30,False,30,11.057377099990845,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,1000,950,0.95,4.95434045791626,0.0,UNSAT,3.1124924949170614e-30,False,30,11.053795576095581,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,2000,2000,1.0,11.54210376739502,0.8648000746025005,UNSAT,3.1124924949170614e-30,False,30,11.05223274230957,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,2000,1998,0.999,6.72847843170166,0.3233235612384795,UNSAT,3.1124924949170614e-30,False,30,11.064752101898193,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,2000,1980,0.99,5.5048041343688965,5.551115123125783e-15,UNSAT,3.1124924949170614e-30,False,30,11.065036535263062,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,2000,1900,0.95,4.89426851272583,0.0,UNSAT,3.1124924949170614e-30,False,30,11.064332962036133,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,4000,4000,1.0,11.54210376739502,0.9817209801725105,UNSAT,3.1124924949170614e-30,False,30,11.081379890441895,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,4000,3996,0.999,6.6505327224731445,0.37116304852326354,UNSAT,3.1124924949170614e-30,False,30,11.066205978393555,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,4000,3960,0.99,5.560611248016357,0.0,UNSAT,3.1124924949170614e-30,False,30,11.065995216369629,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,4000,3800,0.95,4.882676124572754,0.0,UNSAT,3.1124924949170614e-30,False,30,11.077247858047485,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,8000,8000,1.0,11.54210376739502,0.9996658774341463,UNSAT,3.1124924949170614e-30,False,30,11.062962770462036,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,8000,7992,0.999,6.810079097747803,0.40745264691855554,UNSAT,3.1124924949170614e-30,False,30,11.060395002365112,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,8000,7920,0.99,5.6059675216674805,0.0,UNSAT,3.1124924949170614e-30,False,30,11.062963724136353,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,8000,7600,0.95,4.88816499710083,0.0,UNSAT,3.1124924949170614e-30,False,30,11.06324028968811,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,16000,16000,1.0,11.54210376739502,0.999999888362111,UNSAT,3.1124924949170614e-30,False,30,11.062486410140991,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,16000,15984,0.999,6.824504852294922,0.43403756871372234,UNSAT,3.1124924949170614e-30,False,30,11.05782699584961,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,16000,15840,0.99,5.603891849517822,0.0,UNSAT,3.1124924949170614e-30,False,30,11.074311971664429,64.16867971420288
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,16000,15200,0.95,4.889735698699951,0.0,UNSAT,3.1124924949170614e-30,False,30,11.076369524002075,64.16867971420288
