benchmark,instance,config,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,ground_truth,ground_truth_source,soundness_flag,cell_status,error,timestamp
cora_2024,mnist-point.onnx+mnist-img0.vnnlib,micro,200,300,100,TIMEOUT,30.0,30,,,,,,,,sat,"alpha_beta_crown,neuralsat,pyrat",,fail_timeout,timeout 30s,2026-04-28T20:08:45+00:00
cora_2024,mnist-point.onnx+mnist-img0.vnnlib,nano,100,200,50,TIMEOUT,30.0,30,,,,,,,,sat,"alpha_beta_crown,neuralsat,pyrat",,fail_timeout,timeout 30s,2026-04-28T20:09:15+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_418.vnnlib,tiny,500,500,250,UNSAT,18.0,20,0.9995,3.9646,0.0010,0.9960,,,,sat,"alpha_beta_crown,neuralsat,pyrat,nnenum",FALSE_UNSAT,fail_false_unsat,,2026-04-28T20:09:33+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_418.vnnlib,micro,200,300,100,UNSAT,16.8,20,1.0000,4.1921,0.0010,0.9960,,,,sat,"alpha_beta_crown,neuralsat,pyrat,nnenum",FALSE_UNSAT,fail_false_unsat,,2026-04-28T20:09:50+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_418.vnnlib,nano,100,200,50,UNSAT,16.3,20,0.9995,3.8200,0.0010,0.9960,,,,sat,"alpha_beta_crown,neuralsat,pyrat,nnenum",FALSE_UNSAT,fail_false_unsat,,2026-04-28T20:10:06+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2446.vnnlib,micro,200,300,100,TIMEOUT,100.0,100,,,,,,,,unsat,"alpha_beta_crown,neuralsat",,fail_timeout,timeout 100s,2026-04-28T20:11:46+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2446.vnnlib,nano,100,200,50,TIMEOUT,100.0,100,,,,,,,,unsat,"alpha_beta_crown,neuralsat",,fail_timeout,timeout 100s,2026-04-28T20:13:26+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta5_epsilon10_w20.vnnlib,small,1000,1000,500,UNKNOWN,18.0,30,1.0000,2.2778,1.0000,0.9960,,,,sat,"alpha_beta_crown,neuralsat,pyrat,nnenum,nnv",,ok,,2026-04-28T20:13:44+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta10_epsilon10_w20.vnnlib,small,1000,1000,500,UNSAT,29.6,30,0.9995,2.5100,0.0010,0.9960,,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum,nnv",ok,ok,,2026-04-28T20:14:14+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta20_epsilon10_w20.vnnlib,small,1000,1000,500,UNSAT,30.0,60,0.9995,2.2328,0.0010,0.9960,,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum,nnv",ok,ok,,2026-04-28T20:14:44+00:00
