benchmark,instance,config,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,ground_truth,ground_truth_source,soundness_flag,cell_status,error,timestamp
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2446.vnnlib,micro,200,300,100,UNSAT,22.5,100,0.9995,7.1227,0.0011,0.9960,,,,unsat,"alpha_beta_crown,neuralsat",ok,ok,,2026-04-30T06:18:31+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4509.vnnlib,micro,200,300,100,UNSAT,19.1,100,1.0000,6.9904,0.0011,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:18:50+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6246.vnnlib,micro,200,300,100,UNSAT,19.0,100,1.0000,7.9640,0.0011,0.9960,,,,unsat,"alpha_beta_crown,neuralsat",ok,ok,,2026-04-30T06:19:09+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2043.vnnlib,micro,200,300,100,UNSAT,19.0,100,0.9995,6.8952,0.0011,0.9960,,,,unsat,"alpha_beta_crown,neuralsat",ok,ok,,2026-04-30T06:19:28+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2203.vnnlib,micro,200,300,100,UNSAT,19.0,100,0.9995,6.9086,0.0011,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:19:47+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_7641_sidx_1041_eps_0.0039.vnnlib,mega,10000,2000,2000,UNSAT,77.7,100,1.0000,10.3803,0.0010,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:21:05+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_2132_sidx_6868_eps_0.0039.vnnlib,mega,10000,2000,2000,UNSAT,71.8,100,1.0000,10.7968,0.0010,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:22:17+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6232_sidx_3020_eps_0.0039.vnnlib,mega,10000,2000,2000,UNSAT,72.4,100,1.0000,11.6925,0.0010,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:23:29+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_9694_sidx_2810_eps_0.0039.vnnlib,mega,10000,2000,2000,UNSAT,68.6,100,1.0000,13.4331,0.0010,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:24:38+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_4760_sidx_4651_eps_0.0039.vnnlib,mega,10000,2000,2000,UNSAT,68.8,100,0.9995,10.2223,0.0010,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:25:47+00:00
malbeware,malware_malimg_family_scaled_linear-25.onnx+malbeware_family-Obfuscator.AD_label-17_eps-1_idx-89.vnnlib,mega,10000,2000,2000,UNSAT,63.2,100,0.9995,9.8481,0.0010,0.9960,,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum,nnv",ok,ok,,2026-04-30T06:26:50+00:00
malbeware,malware_malimg_family_scaled_linear-25.onnx+malbeware_family-VB.AT_label-22_eps-3_idx-112.vnnlib,mega,10000,2000,2000,UNSAT,63.7,100,1.0000,10.1622,0.0010,0.9960,,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum,nnv",ok,ok,,2026-04-30T06:27:53+00:00
malbeware,malware_malimg_family_scaled_linear-25.onnx+malbeware_family-Allaple.A_label-2_eps-3_idx-11.vnnlib,mega,10000,2000,2000,UNSAT,63.2,100,1.0000,10.4783,0.0010,0.9960,,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum,nnv",ok,ok,,2026-04-30T06:28:57+00:00
malbeware,malware_malimg_family_scaled_linear-25.onnx+malbeware_family-Skintrim.N_label-19_eps-3_idx-96.vnnlib,mega,10000,2000,2000,UNSAT,62.6,100,1.0000,10.2300,0.0010,0.9960,,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum,nnv",ok,ok,,2026-04-30T06:29:59+00:00
malbeware,malware_malimg_family_scaled_linear-25.onnx+malbeware_family-Lolyda.AA1_label-12_eps-3_idx-64.vnnlib,mega,10000,2000,2000,UNSAT,64.0,100,1.0000,10.1265,0.0010,0.9960,,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum,nnv",ok,ok,,2026-04-30T06:31:03+00:00
metaroom_2023,6cnn_tz_35_5_no_custom_OP.onnx+spec_idx_176_eps_0.00001000.vnnlib,mega,10000,2000,2000,UNSAT,95.7,210,0.0000,6.0457,0.0010,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:32:39+00:00
metaroom_2023,4cnn_tz_65_10_no_custom_OP.onnx+spec_idx_79_eps_0.00001000.vnnlib,mega,10000,2000,2000,UNSAT,137.7,210,1.0000,0.9781,0.0010,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:34:57+00:00
metaroom_2023,6cnn_tz_65_10_no_custom_OP.onnx+spec_idx_196_eps_0.00001000.vnnlib,mega,10000,2000,2000,UNKNOWN,84.3,210,0.0000,14.7421,0.0010,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:36:21+00:00
metaroom_2023,6cnn_ry_30_5_no_custom_OP.onnx+spec_idx_114_eps_0.00000436.vnnlib,mega,10000,2000,2000,UNSAT,87.9,210,1.0000,5.0534,0.0010,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:37:49+00:00
metaroom_2023,4cnn_ry_47_7_no_custom_OP.onnx+spec_idx_23_eps_0.00000436.vnnlib,mega,10000,2000,2000,UNSAT,135.6,210,1.0000,2.6604,0.0010,0.9960,,,,unknown,,no_gt,ok,,2026-04-30T06:40:05+00:00
