benchmark,instance,method,hp_name,m,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,coverage_n_test,q,epsilon_total,delta_total,error,timestamp
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta5_epsilon10_w20.vnnlib,hashemi_clipping,m=500,500,,,,SAT,0.6,30,1.0000,1000,,0.0010,,,2026-04-28T06:49:15+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta10_epsilon10_w20.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,0.6,30,0.9990,1000,,0.0010,,,2026-04-28T06:49:16+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta20_epsilon10_w20.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,0.6,60,0.9990,1000,,0.0010,,,2026-04-28T06:49:16+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta5_epsilon10_w20.vnnlib,hashemi_clipping,m=2000,2000,,,,SAT,4.7,30,1.0000,1000,,0.0010,,,2026-04-28T06:49:21+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta10_epsilon10_w20.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,5.2,30,0.9960,1000,,0.0010,,,2026-04-28T06:49:26+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta20_epsilon10_w20.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,4.4,60,1.0000,1000,,0.0010,,,2026-04-28T06:49:31+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta5_epsilon10_w20.vnnlib,hashemi_clipping,m=8000,8000,,,,TIMEOUT,38.7,30,,,,,,timeout 30s,2026-04-28T06:50:09+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta10_epsilon10_w20.vnnlib,hashemi_clipping,m=8000,8000,,,,SKIPPED,,30,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:50:09+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta20_epsilon10_w20.vnnlib,hashemi_clipping,m=8000,8000,,,,SKIPPED,,60,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:50:09+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta5_epsilon10_w20.vnnlib,ours,small,,1000,1000,500,UNKNOWN,18.3,30,1.0000,,2.3195,0.0010,0.9960,,2026-04-28T06:50:28+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta10_epsilon10_w20.vnnlib,ours,small,,1000,1000,500,UNSAT,28.1,30,1.0000,,2.4559,0.0010,0.9960,,2026-04-28T06:50:56+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta20_epsilon10_w20.vnnlib,ours,small,,1000,1000,500,UNSAT,27.2,60,0.9995,,2.3489,0.0010,0.9960,,2026-04-28T06:51:23+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta5_epsilon10_w20.vnnlib,ours,medium,,2000,2000,1000,UNKNOWN,22.7,30,0.9995,,2.3727,0.0010,0.9960,,2026-04-28T06:51:46+00:00
