n_train,batch_size,n_epochs,wall_s,gpu_util_avg_pct,gpu_util_max_pct,gpu_mem_used_max_mb,torch_peak_alloc_mb,loss_initial,loss_final,loss_ratio,samples
1000,512,1000,8.781248807907104,27.15,32.0,319.0,21.95849609375,0.27229201793670654,0.05075369030237198,5.364969843857462,40
2000,512,1000,17.450081825256348,26.8875,28.0,319.0,21.982421875,0.2600904405117035,0.03879382461309433,6.70442894212378,80
2000,1024,1000,7.227586030960083,41.42424242424242,49.0,339.0,37.01904296875,0.25221532583236694,0.02987101674079895,8.443479779109154,33
5000,512,1000,41.36736345291138,27.978947368421053,42.0,319.0,22.05126953125,0.2342875450849533,0.043798476457595825,5.34921677724983,190
5000,1024,1000,22.231085300445557,38.529411764705884,53.0,337.0,37.08837890625,0.23089781403541565,0.03993366286158562,5.782034441361724,102
5000,2048,1000,13.813776969909668,82.109375,91.0,401.0,97.162109375,0.22456473112106323,0.03685542196035385,6.093126036180842,64
5000,4096,1000,33.2021586894989,98.84868421052632,99.0,637.0,337.1552734375,0.23244071006774902,0.03568948805332184,6.5128619867136015,152
10000,512,1000,85.84123039245605,27.885496183206108,99.0,319.0,22.16552734375,0.19087933003902435,0.048580776900053024,3.9291123407047865,393
10000,1024,1000,42.23614311218262,38.92227979274612,50.0,337.0,37.20263671875,0.20353026688098907,0.04039314016699791,5.038733459184681,193
10000,2048,1000,24.8459575176239,96.16666666666667,97.0,401.0,97.27685546875,0.20703022181987762,0.03526688739657402,5.870385426755565,114
10000,4096,1000,67.60057282447815,99.96129032258065,100.0,641.0,337.4248046875,0.20022140443325043,0.031262993812561035,6.404421970387374,310
10000,8192,1000,236.5621132850647,99.99354243542436,100.0,1601.0,1297.40771484375,0.20713070034980774,0.03329098969697952,6.22182465090849,1084
20000,512,1000,172.7027428150177,27.7307206068268,100.0,319.0,22.39404296875,0.17492519319057465,0.04729326814413071,3.698733457317299,791
20000,1024,1000,90.39441657066345,39.18840579710145,56.0,337.0,37.43115234375,0.17402420938014984,0.04106168448925018,4.238116666297722,414
20000,2048,1000,49.013323068618774,98.43111111111111,99.0,401.0,97.50537109375,0.18298202753067017,0.03567156940698624,5.129632101211486,225
20000,4096,1000,151.21451663970947,99.97832369942196,100.0,635.0,337.65380859375,0.1852816641330719,0.03283300995826721,5.6431519488641575,692
