onnx,vnnlib,gt,q,flow_train_loss_final,flow_train_s,method,verdict,detected_unsafe,levels_used,pi_hat,pi_upper,wall_s,soundness_flag
ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,sat,4.8177,0.083595,54.3,amls,UNKNOWN,True,5,5.000e-08,7.948e-08,1.98,unk
ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,sat,4.8177,0.083595,54.3,amls_bounded,UNKNOWN,True,12,1.500e-14,3.076e-14,4.54,unk
ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,sat,4.5035,0.066269,49.5,amls,UNKNOWN,True,5,4.000e-07,6.359e-07,1.67,unk
ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,sat,4.5035,0.066269,49.5,amls_bounded,UNKNOWN,True,30,1.000e-30,3.112e-30,12.29,unk
ACASXU_run2a_1_6_batch_2000.onnx,prop_2.vnnlib,sat,5.1095,0.058639,49.5,amls,UNKNOWN,True,2,1.500e-04,2.011e-04,0.45,unk
ACASXU_run2a_1_6_batch_2000.onnx,prop_2.vnnlib,sat,5.1095,0.058639,49.5,amls_bounded,UNKNOWN,True,2,5.000e-05,6.703e-05,0.45,unk
ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,sat,8.8515,0.085365,49.5,amls,UNKNOWN,True,8,2.500e-10,4.493e-10,8.67,unk
ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,sat,8.8515,0.085365,49.5,amls_bounded,UNKNOWN,True,8,1.000e-10,1.797e-10,9.05,unk
ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,unsat,4.8804,0.053787,49.5,amls,UNSAT,False,30,1.000e-30,3.112e-30,12.29,ok
ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,unsat,4.8804,0.053787,49.5,amls_bounded,UNSAT,False,30,1.000e-30,3.112e-30,12.30,ok
ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,unsat,4.8884,0.072805,49.5,amls,UNSAT,False,30,1.000e-30,3.112e-30,12.25,ok
ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,unsat,4.8884,0.072805,49.5,amls_bounded,UNSAT,False,30,1.000e-30,3.112e-30,12.26,ok
ACASXU_run2a_1_3_batch_2000.onnx,prop_1.vnnlib,unsat,4.2553,0.083358,49.5,amls,UNSAT,False,30,1.000e-30,3.112e-30,12.26,ok
ACASXU_run2a_1_3_batch_2000.onnx,prop_1.vnnlib,unsat,4.2553,0.083358,49.5,amls_bounded,UNSAT,False,30,1.000e-30,3.112e-30,12.31,ok
ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,unsat,4.3167,0.062780,49.5,amls,UNSAT,False,30,1.000e-30,3.112e-30,12.31,ok
ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,unsat,4.3167,0.062780,49.5,amls_bounded,UNSAT,False,30,1.000e-30,3.112e-30,12.33,ok
ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,unsat,4.6342,0.068958,49.5,amls,UNSAT,False,30,1.000e-30,3.112e-30,12.30,ok
ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,unsat,4.6342,0.068958,49.5,amls_bounded,UNSAT,False,30,1.000e-30,3.112e-30,12.31,ok
ACASXU_run2a_1_6_batch_2000.onnx,prop_1.vnnlib,unsat,4.7507,0.064276,49.5,amls,UNSAT,False,30,1.000e-30,3.112e-30,12.27,ok
ACASXU_run2a_1_6_batch_2000.onnx,prop_1.vnnlib,unsat,4.7507,0.064276,49.5,amls_bounded,UNSAT,False,30,1.000e-30,3.112e-30,12.28,ok
